model,accuracy,precision,recall,f1,auc_roc
CatBoost,0.7695,0.483451536643026,0.6164280331574982,0.5419012918184829,0.7781117165083257
MLP (best config),0.7603333333333333,0.4669051878354204,0.5900527505651846,0.5213049267643143,0.7724490656533363
Random Forest,0.813,0.6082365364308342,0.43406179351921625,0.5065963060686016,0.7687528493061925
