config_name,hidden_dims,dropout,learning_rate,batch_size,val_auc,val_f1,test_auc,test_f1
baseline,"[64, 32]",0.1,0.001,512,0.7747587005347433,0.5275,0.7713043440399246,0.5257870060281313
wider,"[128, 64]",0.2,0.0008,512,0.7749964985253504,0.5284586622351475,0.7724490656533363,0.5213049267643143
deeper,"[128, 64, 32]",0.25,0.0006,512,0.7711627616407658,0.5293868921775898,0.7718642473211483,0.5204737732656515
